LION.ID,State,County,City,Organization,Website,Type,LION OutletsCounty
68,CT,Hartford County,Farmington,CT Latino News,http://ctlatinonews.com/,Online News Organization,Hartford
69,CT,Hartford County,Hartford,CTNewsJunkie,ctnewsjunkie.com,Online News Organization,Hartford
70,CT,Litchfield County,Litchfield,Litchfield.bz,litchfield.bz,Online News Organization,Litchfield
71,CT,Fairfield County,Danbury,Tribuna,http://tribunainenglish.com/,Online News Organization,Fairfield
72,CT,New Haven County,Derby,Valley Independent Sentinel,valleyindy.org,Online News Organization,New Haven
73,CT,Fairfield County,Wilton,Good Morning Wilton,goodmorningwilton.com,Online News Organization,Fairfield
74,CT,Hartford County,Canton,Canton Compass,cantoncompass.com,Online News Organization,Hartford
75,CT,New Haven County,Hamden,Hamden Times,http://hnhtimes.com/,Online News Organization,New Haven
76,CT,Hartford County,West Hartford,We-Ha.com,We-Ha.com,Online News Organization,Hartford
77,CT,Fairfield County,Bridgeport,Only in Bridgeport,onlyinbridgeport.com,Online News Organization,Fairfield
78,CT,Fairfield County,Greenwich,Greenwich Free Press,greenwichfreepress.com,Online News Organization,Fairfield
79,CT,New Haven County,New Haven,Connecticut Health Investigation Team,c-hit.org,Online News Organization,New Haven
80,CT,New Haven County,Branford,Branford Eagle,branfordeagle.org,Online News Organization,New Haven
81,CT,Fairfield County,New Canaan,New Canaanite,newcanaanite.com,Online News Organization,Fairfield
82,CT,Fairfield County,Norwalk,Nancy on Norwalk,nancyonnorwalk.com,Online News Organization,Fairfield
83,CT,New London County,Old Lyme,Lyme Line,lymeline.com,Online News Organization,New London
84,CT,Middlesex County,Old Saybrook,Old Saybrook Now,oldsaybrooknow.com,Online News Organization,Middlesex
85,CT,Middlesex County,Essex,Valley News Now,valleynewsnow.com,Online News Organization,Middlesex
86,CT,New Haven County,New Haven,New Haven Independent,newhavenindependent.org,Online News Organization,New Haven
87,CT,New Haven County,Branford,Branford Seven,branfordseven.com,Online News Organization,New Haven
88,CT,Litchfield County,Torrington,Litchfield County Sports,litchfieldcountysports.com,Online News Organization,Litchfield
89,CT,Middlesex County,Haddam,Haddam Now,haddamnow.com,Online News Organization,Middlesex
90,CT,Fairfield County,Weston,Weston Today,weston-today.com,Online News Organization,Fairfield
91,CT,Fairfield County,,Fairfield County Moms,,Online News Organization,Fairfield
92,CT,Fairfield County,Redding/Easton,Hello News CT,http://hellonewsct.com/,Online News Organization,Fairfield
93,CT,Fairfield County,Westport,Westport Now,westportnow.com,Online News Organization,Fairfield
94,CT,Hartford County,Hartford,CTNewsJunkie,ctnewsjunkie.com,Online News Organization,Hartford
95,CT,Fairfield County,Westport,O6880,,Online News Organization,Fairfield
96,DE,Kent County,Milford,Milford Live,milfordlive.com,Online News Organization,Kent
97,DE,New Castle County,Newark,Delaware Business Now,delawarebusinessnow.com,Online News Organization,New Castle
98,DE,County,,Technical.ly Delaware,https://technical.ly/delaware,Online News Organization,
99,DC,District of Columbia,District of Columbia,D.C. Witness,dcwitness.org,Online News Organization,District of Columbia
100,DC,District of Columbia,District of Columbia,Technical.ly D.C.,https://technical.ly/dc/,Online News Organization,District of Columbia
101,DC,District of Columbia,District of Columbia,PoPville,popville.com,Online News Organization,District of Columbia
102,DC,District of Columbia,District of Columbia,Greater Greater Washington,ggwash.org,Online News Organization,District of Columbia
103,DC,District of Columbia,District of Columbia,New Columbia Heights,http://newcolumbiaheights.blogspot.com/,Online News Organization,District of Columbia
