state,newspaper_id,newspaper_name,frequency,city,county,owner_id,owner_name,owner_type,total_circulation
AL,18650,Arab Tribune The,W,Arab,Marshall,4623,Reed Edwin,Private,6500
AL,18530,Sumter County Record-Journal,W,Livingston,Sumter,3801,McGraw Tommy,Private,5400
AL,18430,St. Clair News-Aegis,W,Pell City,St. Clair,6032,CNHI,Investment,5500
AL,18361,Southeast Sun,W,Enterprise,Coffee,4562,QST Publications Inc,Private,14662
AL,18235,Shelby County Reporter,W,Columbiana,Shelby,1409,Boone Newspapers,Private,32497
AL,18229,Standard & Times,W,Tuscumbia,Colbert,1940,Crawford Jim,Private,1000
AL,18158,Sand Mountain Reporter,W,Albertville,Marshall,5084,Southern Newspapers,Private,6897
AL,18143,Samson Ledger,W,Geneva,Geneva,4548,Pujol Printing and Publishing LLC,Private,0
AL,17821,Piedmont Journal,W,Anniston,Calhoun,1855,Consolidated Publishing Co,Private,3300
AL,17816,Pickens County Herald,W,Carrollton,Pickens,2933,Hershal Lake Publishing,Private,4027
AL,17596,Northwest Alabamian,W,Haleyville,Winston,3896,Mid-South Management Company Inc,Private,7578
AL,17546,North Jefferson News,W,Gardendale,Jefferson,6032,CNHI,Investment,2310
AL,17326,Montgomery Independent,W,Montgomery,Montgomery,4587,RAM Publications,Private,14872
AL,17311,Monroe Journal The,W,Monroeville,Monroe,1402,Bolton Newspapers Inc.,Private,19700
AL,17146,Marion Times-Standard,W,Marion,Perry,5491,Trib Publications,Private,2025
AL,17086,Madison Record The,W,Madison,Madison,1409,Boone Newspapers,Private,0
AL,17063,Lowndes Signal,W,Fort Deposit,Lowndes,1409,Boone Newspapers,Private,1900
AL,16919,Lamar Leader,W,Sulligent,Lamar,6052,"Lamar Publishing, Inc.",Private,3000
AL,16918,Lamar Democrat,W,Vernon,Lamar,4630,Reeves Howard,Private,2938
AL,16865,LaFayette Sun,W,LaFayette,Chambers,5820,Wilcox Mike,Private,2638
AL,16791,Journal Record,W,Haleyville,Marion,3896,Mid-South Management Company Inc,Private,8579
AL,16754,Jacksonville News The,W,Anniston,Calhoun,1855,Consolidated Publishing Co,Private,3300
AL,16518,Geneva County Reaper,W,Geneva,Geneva,4548,Pujol Printing and Publishing LLC,Private,2500
AL,16436,Greenville Advocate The,W,Greenville,Butler,1409,Boone Newspapers,Private,12700
AL,16433,Greensboro Watchman,W,Greensboro,Hale,2699,Greensboro Watchman Inc,Private,2795
AL,16422,Greene County Democrat,W,Eutaw,Greene,5973,Greene County Democrat Newspaper Company Inc.,Private,4300
AL,16236,Franklin County Times,W,Russellville,Franklin,1409,Boone Newspapers,Private,3800
AL,16182,Florala News The,W,Florala,Covington,5908,Woodham Publishing,Private,1700
AL,16139,Fairhope Courier The,W,Fairhope,Baldwin,4270,Osteen Publishing Co,Private,1752
AL,16114,Eufaula Tribune,W,Eufaula,Barbour,1306,BH Media Group,Investment,4300
AL,16028,Eclectic Observer,W,Wetumpka,Elmore,1409,Boone Newspapers,Private,1300
AL,15996,East Lauderdale News,W,Rogersville,Lauderdale,6049,"Cox, Jim",Private,4500
AL,15892,Demopolis Times,W,Demopolis,Marengo,1409,Boone Newspapers,Private,2850
AL,15821,Daleville Sun-Courier,W,Daleville,Dale,4562,QST Publications Inc,Private,6332
AL,15819,Dadeville Record,W,Alexander City,Tallapoosa,1409,Boone Newspapers,Private,1600
AL,15670,Colbert County Reporter,W,Tuscumbia,Colbert,1940,Crawford Jim,Private,4500
AL,15627,Clay Times-Journal,W,Lineville,Clay,4531,Proctor David,Private,3899
AL,15613,Clarke County Democrat,W,Grove Hill,Clarke,6049,"Cox, Jim",Private,3700
AL,15578,Choctaw Sun-Advocate,W,Gilbertown,Choctaw,6048,Campbell Newspapers,Private,4800
AL,15569,Chilton County News,W,Clanton,Chilton,5523,Tucker Robert,Private,3000
AL,15545,Cherokee County Herald,W,Centre,Cherokee,6051,"Crawford Jr., David",Private,8466
AL,15044,Atmore Advance,W,Atmore,Escambia,1409,Boone Newspapers,Private,9100
AL,14909,Advertiser-Gleam,W,Guntersville,Marshall,1031,Advertiser Gleam Corporation,Private,8140
AL,14882,Abbeville Herald,W,Abbeville,Henry,2133,Dodd Edward J,Private,2350
AL,14148,Clanton Advertiser The,D,Clanton,Chilton,1409,Boone Newspapers,Private,5000
AL,13738,Valley Times-News The,D,Lanett,Chambers,1409,Boone Newspapers,Private,6000
AL,13686,Tuscaloosa News The,D,Tuscaloosa,Tuscaloosa,2464,New Media/GateHouse,Investment,24409
AL,13371,Anniston Star,D,Anniston,Calhoun,1855,Consolidated Publishing Co,Private,15606
AL,13191,Selma Times-Journal The,D,Selma,Dallas,1409,Boone Newspapers,Private,16500
AL,12669,Opelika-Auburn News,D,Opelika,Lee,1306,BH Media Group,Investment,12363
AL,12501,News-Courier The,D,Athens,Limestone,6032,CNHI,Investment,7693
AL,12331,Montgomery Advertiser,D,Montgomery,Montgomery,2547,Gannett,Public,25540
AL,12308,Press-Register,W,Mobile,Mobile,1030,Advance Publications,Private,18748
AL,12236,Troy Messenger The,D,Troy,Pike,1409,Boone Newspapers,Private,2814
AL,11766,Daily Mountain Eagle,D,Jasper,Walker,1763,Cleveland Newspapers Inc,Private,6915
AL,11678,Huntsville Times,W,Huntsville,Madison,1030,Advance Publications,Private,14521
AL,11341,Gadsden Times The,D,Gadsden,Etowah,2464,New Media/GateHouse,Investment,12597
AL,11289,Times-Journal The,D,Fort Payne,DeKalb,5084,Southern Newspapers,Private,3334
AL,11267,Times Daily,D,Florence,Lauderdale,4951,Shelton Family,Private,20306
AL,11183,Enterprise Ledger The,D,Enterprise,Coffee,1306,BH Media Group,Investment,7100
AL,11048,Dothan Eagle,D,Dothan,Houston,1306,BH Media Group,Investment,22714
AL,10981,Decatur Daily The,D,Decatur,Morgan,4951,Shelton Family,Private,14735
AL,10923,Daily Sentinel The,D,Scottsboro,Jackson,5084,Southern Newspapers,Private,3044
AL,10841,Daily Home The,D,Talladega,Talladega,1855,Consolidated Publishing Co,Private,9872
AL,10782,Andalusia Star-News,D,Andalusia,Covington,1826,Boone Newspapers,Private,3395
AL,10300,Birmingham News The,W,Birmingham,Jefferson,1030,Advance Publications,Private,30136
AL,10057,Alexander City Outlook,D,Alexander City,Tallapoosa,1409,Boone Newspapers,Private,5300
AR,90672,Northwest Arkansas Democrat-Gazette,D,Fayetteville,Washington,5735,Wehco Media,Private,
AR,90671,Lake Area Weekly,W,Fairfield Bay,Van Buren,6214,Fairfield Bay Community Club,Private,1200
AR,90505,Texarkana Gazette,D,Texarkana,Miller,5735,Wehco Media,Private,19616
AR,90503,The Melbourne Times,W,Melbourne,Izard,6157,"Dutton, Debbie",Private,
AR,90501,South Arkansas Sun,W,Hampton,Calhoun,6156,"Killian, Larry",Private,
AR,90500,The Standard,W,Amity,Clark,6158,May Publishing Co.,Private,0
AR,90232,The Waldron News,W,Waldron,Scott,3424,Lancaster Management,Private,8670
AR,90194,Madison County Record,D,Huntsville,Madison,6004,Kreth Ellen,Private,7600
AR,90010,La Prensa,W,Springdale,Washington,5735,Wehco Media,Private,15000
AR,90008,Times of Northeast Benton County The,W,Pea Ridge,Benton,5735,Wehco Media,Private,1500
AR,90006,Maumelle Monitor,W,North Little Rock,Pulaski,2464,New Media/GateHouse,Investment,2921
AR,90003,Washington County Enterprise-Leader,W,Farmington,Washington,5735,Wehco Media,Private,0
AR,90002,Free Weekly,W,Fayetteville,Washington,2464,New Media/GateHouse,Investment,8197
AR,50347,Wynne Progress,W,Wynne,Cross,1395,"Boger, David M",Private,3025
AR,50338,Alma Journal,W,Van Buren,Crawford,2464,New Media/GateHouse,Investment,210
AR,50324,The News,W,Salem,Fulton,2442,"Flynn, Janie",Private,0
AR,50279,Arkansas Times,W,Little Rock,Pulaski,6053,Arkansas Times Limited Partnership,Private,21802
AR,50238,Fairfield Bay News,W,Fairfield Bay,Van Buren,2364,Fairfield Bay Community Club,Private,1580
AR,50237,Lovely County Citizen,W,Eureka Springs,Carroll,4797,Rust Communications,Private,5717
AR,50231,Dover Times The,W,Atkins,Pope,5546,"Tyson, Van A",Private,1600
AR,50211,Leader,W,Cabot,Lonoke,6054,"Leader Publishing, Inc.",Private,16251
AR,50197,Arkansas Weekly,W,Batesville,Independence,1478,"Bridgman, Gary",Private,21250
AR,21317,Newport Independent,W,Newport,Jackson,2464,New Media/GateHouse,Investment,2300
AR,21139,Yell County Record,W,Danville,Yell,2423,Fisher Publishing Company,Private,4500
AR,21022,Jacksonville Patriot,W,North Little Rock,Pulaski,2464,New Media/GateHouse,Investment,921
AR,21011,Carroll County News,W,Berryville,Carroll,4797,Rust Communications,Private,3134
AR,21009,Beebe News,W,Beebe,White,2054,"McLane, Lee",Private,2500
AR,20954,Woodruff County Monitor-Leader-Advocate,W,McCrory,Woodruff,2613,Gladys Price Press,Private,2556
AR,20871,White River Journal,W,Des Arc,Prairie,5666,Walls Dean L,Private,2372
