state,newspaper_id,newspaper_name,frequency,city,county,owner_id,owner_name,owner_type,total_circulation
IL,13047,Rockford Register Star,D,Rockford,Winnebago,2464,New Media/GateHouse,Investment,45376
IL,13035,Daily News,D,Robinson,Crawford,3523,Lewis Newspapers,Private,5933
IL,12947,Quincy Herald-Whig,D,Quincy,Adams,4572,Quincy Newspapers Inc,Private,3200
IL,12854,Pontiac Daily Leader,D,Pontiac,Livingston,2464,New Media/GateHouse,Investment,2800
IL,12784,Journal Star,D,Peoria,Peoria,2464,New Media/GateHouse,Investment,50118
IL,12771,Pekin Daily Times,D,Pekin,Tazewell,2464,New Media/GateHouse,Investment,8637
IL,12692,Times,D,Ottawa,La Salle,4940,Shaw Media,Private,16367
IL,12662,Olney Daily Mail,D,Olney,Richland,2464,New Media/GateHouse,Investment,3675
IL,12608,Northwest Herald,D,Crystal Lake,McHenry,4942,Shaw Media,Private,25890
IL,12360,Morris Herald-News,D,Morris,Grundy,4942,Shaw Media,Private,17561
IL,12313,Dispatch The,D,Moline,Rock Island,3484,Lee Enterprises,Public,27008
IL,12184,Mattoon Journal-Gazette,D,Mattoon,Coles,3484,Lee Enterprises,Public,10761
IL,12153,Marion Daily Republican The,D,Marion,Williamson,4292,Paddock Publications Inc,Private,3600
IL,12099,McDonough County Voice The,D,Macomb,McDonough,2464,New Media/GateHouse,Investment,3800
IL,12017,Courier The,D,Lincoln,Logan,2464,New Media/GateHouse,Investment,5623
IL,11891,News-Tribune,D,La Salle,La Salle,3457,LaSalle County Broadcasting Corp,Private,23105
IL,11824,Kane County Chronicle,D,Geneva,Kane,4942,Shaw Media,Private,1767
IL,11785,Herald-News,D,Joliet,Will,4942,Shaw Media,Private,17066
IL,11760,Jacksonville Journal-Courier,D,Jacksonville,Morgan,2886,Hearst Corporation,Private,2505
IL,11347,Register-Mail The,D,Galesburg,Knox,2464,New Media/GateHouse,Investment,9194
IL,11324,Journal-Standard The,D,Freeport,Stephenson,2464,New Media/GateHouse,Investment,6786
IL,11146,Courier-News,D,Aurora,Kane,5500,tronc/Tribune,Investment,1135
IL,11123,Effingham Daily News,D,Effingham,Effingham,6032,CNHI,Investment,7500
IL,11122,Edwardsville Intelligencer,D,Edwardsville,Madison,2886,Hearst Corporation,Private,2710
IL,11059,Du Quoin Evening Call,D,Du Quoin,Perry,4292,Paddock Publications Inc,Private,3800
IL,11042,Telegraph,D,Dixon,Lee,4942,Shaw Media,Private,6462
IL,10982,"Herald and Review, Decatur",D,Decatur,Macon,3484,Lee Enterprises,Public,24556
IL,10966,Commercial-News,D,Danville,Vermilion,6032,CNHI,Investment,8681
IL,10955,Daily Union,W,Shelbyville,Shelby,6032,CNHI,Investment,4156
IL,10931,Southtown Star,D,Tinley Park,Cook,5500,tronc/Tribune,Investment,16709
IL,10918,Daily Review Atlas,D,Monmouth,Warren,2464,New Media/GateHouse,Investment,3159
IL,10917,Mt Carmel Register,D,Mount Carmel,Wabash,4356,Paxton Media Group,Private,
IL,10860,Daily Ledger,D,Canton,Fulton,2464,New Media/GateHouse,Investment,3800
IL,10852,Daily Journal The,D,Kankakee,Kankakee,5016,Small Newspaper Group,Private,20103
IL,10829,Daily Gazette,D,Sterling,Whiteside,4942,Shaw Media,Private,7488
IL,10812,Advocate Press,W,Flora,Clay,2464,New Media/GateHouse,Investment,3166
IL,10808,Daily Chronicle,D,DeKalb,DeKalb,4942,Shaw Media,Private,7975
IL,10656,Clinton Journal,W,Clinton,De Witt,4121,News Media Corporation,Private,8400
IL,10594,Chicago Tribune,D,Chicago,Cook,5500,tronc/Tribune,Investment,520488
IL,10593,Chicago Sun-Times,D,Chicago,Cook,6116,ST Acquisition Holdings LLC,NA,127627
IL,10592,Daily Herald,D,Arlington Heights,Cook,4292,Paddock Publications Inc,Private,78232
IL,10560,Charleston Times-Courier,D,Charleston,Coles,3484,Lee Enterprises,Public,4769
IL,10546,News-Gazette,D,Champaign,Champaign,4115,News Gazette,Private,38128
IL,10537,Morning Sentinel,D,Centralia,Marion,1675,Centralia Press Ltd,Private,12226
IL,10502,Carmi Times,D,Carmi,White,2464,New Media/GateHouse,Investment,2718
IL,10321,Pantagraph The,D,Bloomington,McLean,3484,Lee Enterprises,Public,28060
IL,10275,Benton Evening News,D,Benton,Franklin,4292,Paddock Publications Inc,Private,3472
IL,10262,Belleville News-Democrat,D,Belleville,St. Clair,3772,McClatchy,Public,38202
IL,10183,Beacon-News The,D,Chicago,Kane,5500,tronc/Tribune,Investment,8498
IL,10075,Telegraph,D,Alton,Madison,2886,Hearst Corporation,Private,40369
IN,90270,Northwest News,W,Huntertown,Allen,3375,KPC Media Group,Private,1500
IN,90269,Monroeville News,W,Monroeville,Allen,3017,Horizon Publications,Private,1220
IN,90254,Hamilton News,W,Hamilton,Steuben,6160,"Bosse, Marty and Tina",Private,
IN,90206,Herald-Tribune The,W,Batesville,Ripley,6032,CNHI,Investment,2400
IN,53280,Pendleton Times-Post,W,Pendleton,Madison,1039,AIM Media ,NA,2400
IN,53233,Harbor Country News,W,Michigan City,La Porte,4356,Paxton Media Group,Private,9200
IN,53225,Loogootee Tribune,W,Loogootee,Martin,2902,Hembree Communications,Private,2436
IN,53192,Nuvo,W,Indianapolis,Marion,3808,"McKinney, Kevin",Private,26325
IN,53190,Indianapolis Recorder,W,Indianapolis,Marion,3760,"Mays, William",Private,5124
IN,53167,Gary Crusader,W,Gary,Lake,3478,"Leavell, Dorothy",Private,44000
IN,53165,Franklin Township Informer,W,Indianapolis,Johnson,2487,Franklin Township Civic League,Private,1500
IN,53156,Frost Illustrated,W,Fort Wayne,Allen,5025,"Smith, Edward N.",Private,1419
IN,53102,The Hendricks County Flyer,W,Avon,Hendricks,6032,CNHI,Investment,31550
IN,53096,Review Republican,W,Attica,Fountain & Warren,1822,Community Media Group,Private,1982
IN,21280,Herald-News,W,Cayuga,Vermillion,2701,Greenwood Newspapers Inc,Private,4725
IN,21269,Morocco Courier,W,Kentland,Grant,1822,Community Media Group,Private,460
IN,21268,Huntingburg Press,W,Huntingburg,Dubois,3310,Kentucky Publishing Inc,Private,10000
IN,21267,Oak Hill Times,W,Gas City,Grant,3310,Kentucky Publishing Inc,Private,8130
IN,21125,Mooresville-Decatur Times The,W,Mooresville,Morgan,2464,New Media/GateHouse,Investment,5700
IN,21124,Southside Times The,W,Indianapolis,Marion,5425,Times-Leader Publications,Private,17500
IN,20995,Zionsville Times Sentinel,W,Zionsville,Boone,6032,CNHI,Investment,4300
IN,20846,Westville Indicator,W,Westville,La Porte,3320,Kiel Media,Private,345
IN,20669,Wakarusa Tribune,W,Wakarusa,Elkhart,2240,Ecom Publishing,Private,1210
IN,20642,Vevay Reveille-Enterprise,W,Vevay,Switzerland,5612,Vevay Newspapers Inc,Private,3000
IN,20639,Versailles Republican,W,Versailles,Ripley,4709,Ripley Publishing,Private,5248
IN,20559,Twin City Journal-Reporter,W,Gas City,Grant,3310,Kentucky Publishing Inc,Private,3027
IN,20534,Tribune-News,W,South Whitley,Whitley,5481,Tranter John,Private,951
IN,20316,Washington County Edition,W,Salem,Washington,2686,Green Banner Publications,Private,11338
IN,20154,Switzerland Democrat,W,Vevay,Switzerland,5612,Vevay Newspapers Inc,Private,600
IN,20044,Shoals News,W,Shoals,Martin,2056,Deckard Steven,Private,2789
IN,20008,Salem Leader,W,Salem,Washington,3477,Leader Publishing Co of Salem Inc,Private,6124
IN,20007,Salem Democrat,W,Salem,Washington,3477,Leader Publishing Co of Salem Inc,Private,6000
IN,19967,Rising Sun Recorder,W,Rising Sun,Ohio,6122,Register Publications,Private,1729
IN,19908,Pulaski County Journal The,W,Winamac,Pulaski,2778,Haley Melissa,Private,3000
IN,19901,Progress Examiner,W,Orleans,Orange,3959,Noblitt John,Private,1764
IN,19894,Press-Dispatch The,W,Petersburg,Pike,4434,Pike County Publishing Co,Private,5000
IN,19880,Posey County News The,W,New Harmony,Posey,4363,Pearce Dave,Private,4500
IN,19795,Ossian Journal,W,Ossian,Wells,4114,News Banner Publications Inc.,Private,510
IN,19773,Odon Journal,W,Odon,Daviess,4051,Myers John,Private,2990
IN,19754,North Vernon Sun,W,North Vernon,Jennings,4175,North Vernon Plain Dealer & Sun,Private,5352
IN,19735,Newton County Enterprise,W,Kentland,Newton,1822,Community Media Group,Private,1600
IN,19687,New Wolcott Enterprise,W,Wolcott,White,3469,Lawson Barbara,Private,650
IN,19634,Montpelier Weekly,W,Montpelier,Blackford,3475,David and Brad Neff,Private,739
IN,19615,Mishawaka Enterprise,W,Mishawaka,St. Joseph,4143,Nich Bill,Private,1815
IN,19600,Middletown News,W,Middletown,Henry,1871,Cooper Drew,Private,2000
IN,19598,Middlebury Independent,W,Middlebury,Elkhart,3406,LaGrange Publishing Company,Private,934
IN,19530,Mail-Journal The,W,Milford,Kosciusko,4313,Paper Inc.,Private,3000
IN,19475,Liberty Herald,W,Liberty,Union,5803,Whitewater Publications Inc,Private,2593
IN,19453,Leader of Starke County The,W,Knox,Starke,6124,Pilot News Group,Private,2593
IN,19452,Leader,W,Charlestown,Clark,2686,Green Banner Publications,Private,14964
IN,19370,Jackson County Banner,W,Brownstown,Jackson,1822,AIM Media ,NA,5870
IN,19293,Herald-Tribune The,W,Batesville,Ripley,6032,CNHI,Investment,2400
IN,19225,Greensburg Daily News,D,Greensburg,Decatur,6032,CNHI,Investment,4200
IN,19191,Giveaway The,W,Scottsburg,Scott,2686,Green Banner Publications,Private,17970
IN,19171,Garrett Clipper,W,Auburn,De Kalb,3375,KPC Media Group,Private,850
IN,19120,Ferdinand News,W,Ferdinand,Dubois,2182,Dubois-Spencer Counties Publishing Co. Inc,Private,3000
IN,18977,Culver Citizen The,W,Plymouth,Marshall,6124,Pilot News Group,Private,900
IN,18945,Corydon Democrat,W,Corydon,Harrison,4209,O'Bannon Publishing Co Inc,Private,24400
IN,18803,Butler Bulletin The,W,Auburn,De Kalb,3375,KPC Media Group,Private,1573
IN,18786,Brookville American,W,Brookville,Franklin,5803,Whitewater Publications Inc,Private,5062
IN,18716,Benton Review,W,Fowler,Benton,6131,Hoosier Media Group,Private,3076
IN,18679,Banner-Gazette The,W,Pekin,Washington,2686,Green Banner Publications,Private,18021
IN,18416,Springs Valley Herald,W,French Lick,Orange,4260,Orange Co. Publishing Inc.,Private,2200
IN,18393,Spencer County Leader,W,Dale,Spencer,2182,Dubois-Spencer Counties Publishing Co. Inc,Private,2100
IN,18392,Spencer County Journal-Democrat,W,Rockport,Owen,3430,Landmark Media Enterprises,Private,5700
IN,18334,South Gibson Star Times,W,Fort Branch,Gibson,4434,Pike County Publishing Co,Private,4973
IN,18119,Royal Center Record,W,Royal Center,Cass,1629,Carlson Joe,Private,852
IN,18027,Remington Press,W,Rensselaer,Jasper,1822,Community Media Group,Private,425
IN,17795,Perry County News,W,Tell City,Perry,3430,Landmark Media Enterprises,Private,6792
IN,17745,Parke County Sentinel,W,Rockville,Parke,5459,Torch Newspapers Inc.,Private,4549
IN,17735,Paoli News Republican,W,Paoli,Orange,4260,Orange Co. Publishing Inc.,Private,2800
IN,17692,Osgood Journal,W,Versailles,Ripley,4709,Ripley Publishing,Private,5248
IN,17564,North Vernon Plain Dealer,W,North Vernon,Jennings,4175,North Vernon Plain Dealer & Sun,Private,5352
IN,17461,New Palestine Press,W,Greenfield,Hancock,1039,AIM Media ,NA,2500
IN,17412,Nappanee Advance News,W,Nappanee,Elkhart,3017,Horizon Publications,Private,1556
IN,17373,Mount Vernon Democrat,W,Mount Vernon,Posey,3430,Landmark Media Enterprises,Private,7600
IN,17304,News and Review,W,Monon,White,6131,Hoosier Media Group,Private,1081
IN,16875,Lafayette Leader,W,Lafayette,Tippecanoe,1822,Community Media Group,Private,1729
IN,16868,LaGrange Standard,W,LaGrange,Lagrange,3406,LaGrange Publishing Company,Private,5200
IN,16867,LaGrange News,W,Lagrange,Lagrange,3406,LaGrange Publishing Company,Private,5200
IN,16853,Knightstown Banner,W,Knightstown,Henry,1918,Cox Eric,Private,1415
IN,16806,Kankakee Valley Post-News,W,Demotte,Jasper,1822,Community Media Group,Private,21800
IN,16561,Herald Republican The,D,Angola,Steuben,3375,KPC Media Group,Private,4070
IN,16549,Hendricks County Flyer,W,Avon,Hendricks,6032,CNHI,Investment,31550
IN,16440,Greenwood and Southside Challenger,W,Greenwood,Johnson,2701,Greenwood Newspapers Inc,Private,7813
IN,16228,Francesville Tribune,W,Francesville,Pulaski,6131,Hoosier Media Group,Private,970
IN,16220,Fountain County Neighbor,W,Attica,Fountain,1822,Community Media Group,Private,1803
IN,15960,Dunkirk News and Sun,W,Dunkirk,Jay,2665,Graphic Printing Co,Private,1012
IN,15801,Crown Point Star,W,Crown Point,Lake,5500,tronc/Tribune,Investment,1358
IN,15800,Crothersville Times,W,Crothersville,Jackson,3374,Kovener Curt,Private,1328
IN,15606,Clarion News,W,Corydon,Harrison,4209,O'Bannon Publishing Co Inc,Private,16600
IN,15588,Churubusco News,W,Churubusco,Whitley,3375,KPC Media Group,Private,2000
IN,15447,Carroll County Comet,W,Flora,Carroll,6126,"Carroll Papers, Inc.",Private,3734
IN,15322,Brown County Democrat,W,Nashville,Brown,1039,AIM Media ,NA,3842
IN,15307,Brook Reporter,W,Brook,Newton,1822,Community Media Group,Private,144
IN,15279,Bremen Enquirer,W,Bremen,Marshall,6124,Pilot News Group,Private,1250
IN,15252,Bourbon News-Mirror,W,Plymouth,Marshall,3017,Horizon Publications,Private,911
IN,15244,Standard The,W,Boonville,Warrick,4356,Paxton Media Group,Private,6000
IN,15163,Berne Witness,W,Berne,Adams,2204,Dynamic Resource Group,Private,
IN,14934,Alexandria Times-Tribune,W,Elwood,Madison,6129,Elwood Publishing,Private,1600
IN,14928,Albion New Era,W,Albion,Noble,3375,KPC Media Group,Private,2250
IN,14903,Advance Leader The,W,Kendallville,Noble,3375,KPC Media Group,Private,592
IN,14573,Weekly,W,Crawfordsville,Montgomery,6127,Sagamore News Media,Private,6237
IN,14571,Regional News The,W,Westville,La Porte,3320,Kiel Media,Private,575
IN,14570,Paper,W,Wabash,Wabash,6130,The Paper of Wabash Co. Inc.,Private,16769
IN,14566,Clay City News,W,Clay City,Clay,2464,New Media/GateHouse,Investment,1800
IN,14565,Ellettsville Journal The,W,Ellettsville,Monroe,2464,New Media/GateHouse,Investment,1500
IN,14564,Morocco Courier,W,Kentland,Newton,1822,Community Media Group,Private,460
IN,14280,News-Journal,W,North Manchester,Wabash,6130,The Paper of Wabash Co. Inc.,Private,2000
IN,14279,Dearborn County Register,W,Lawrenceburg,Dearborn,6122,Register Publications,Private,6000
IN,14277,Journal-Press The,W,Lawrenceburg,Dearborn,6122,Register Publications,Private,6300
IN,14151,Times The,D,Noblesville,Hamilton,6127,Sagamore News Media,Private,5000
IN,14147,Journal Gazette,D,Fort Wayne,Allen,3241,Journal Gazette,Private,37803
IN,14057,News-Gazette The,D,Winchester,Randolph,1822,Community Media Group,Private,3700
IN,14056,Tipton County Tribune,D,Tipton,Tipton,6129,Elwood Publishing,Private,5200
IN,14055,Sullivan Daily Times,D,Sullivan,Sullivan,6128,Kelk Publishing,Private,4115
IN,14054,Courier-Times The,D,New Castle,Henry,4356,Paxton Media Group,Private,4500
IN,14053,News Sun The,D,Kendallville,Noble,3375,KPC Media Group,Private,7731
IN,14052,News-Times,D,Hartford City,Blackford,1822,Community Media Group,Private,1500
IN,14051,Daily Reporter,D,Greenfield,Hancock,1039,AIM Media ,NA,8729
IN,14050,Elwood Call-Leader The,D,Elwood,Madison,6129,Elwood Publishing,Private,2100
IN,14049,Post & Mail,D,Columbia City,Whitley,3017,Horizon Publications,Private,4058
IN,14048,Daily Clintonian,D,Clinton,Vermillion,1986,Daily Clintonian,Private,4895
IN,14047,Brazil Times,D,Brazil,Clay,4797,Rust Communications,Private,4133
IN,13825,Washington Times-Herald,D,Washington,Daviess,6032,CNHI,Investment,4060
IN,13788,Wabash Plain Dealer,D,Wabash,Wabash,4356,Paxton Media Group,Private,3000
IN,13778,Vincennes Sun-Commercial,D,Vincennes,Knox,4356,Paxton Media Group,Private,4867
IN,13650,Tribune Star The,D,Terre Haute,Vigo,6032,CNHI,Investment,5218
IN,13618,Times-Union,D,Warsaw,Kosciusko,4664,Reub Williams & Sons Inc,Private,8245
IN,13607,Times-Mail/ Sunday Hoosiertimes,D,Bedford,Lawrence,2464,New Media/GateHouse,Investment,10620
IN,13369,Star Press The,D,Muncie,Delaware,2547,Gannett,Public,21364
IN,13318,Spencer Evening World,D,Spencer,Owen,2464,New Media/GateHouse,Investment,3590
IN,13282,South Bend Tribune,D,South Bend,St. Joseph,2464,New Media/GateHouse,Investment,46400
IN,13221,Shelbyville News The,D,Shelbyville,Shelby,4356,Paxton Media Group,Private,8315
IN,13208,Tribune,D,Seymour,Jackson,1039,AIM Media ,NA,8951
IN,13077,Rushville Republican,D,Rushville,Rush,6032,CNHI,Investment,10945
IN,13039,Rochester Sentinel The,D,Rochester,Fulton,4745,Rochester Sentinel The,Private,3800
IN,13016,Palladium-Item,D,Richmond,Wayne,2547,Gannett,Public,9670
IN,13004,Rensselaer Republican,D,Rensselaer,Jasper,1822,Community Media Group,Private,2049
IN,13003,Republic,D,Columbus,Bartholomew,1039,AIM Media ,NA,16013
IN,13001,Reporter Times The,D,Martinsville,Morgan,2464,New Media/GateHouse,Investment,4714
IN,12920,Princeton Daily Clarion,D,Princeton,Gibson,4356,Paxton Media Group,Private,5330
IN,12884,Post-Tribune,D,Merrillville,Lake,5500,tronc/Tribune,Investment,20266
IN,12821,Pilot-News,D,Plymouth,Marshall,3017,Horizon Publications,Private,6227
IN,12791,Peru Tribune,D,Peru,Miami,4356,Paxton Media Group,Private,9600
IN,12503,News Dispatch The,D,Michigan City,La Porte,4356,Paxton Media Group,Private,11004
IN,12498,News Banner,D,Bluffton,Wells,4114,News Banner Publications Inc.,Private,4691
IN,12436,News and Tribune,D,New Albany,Floyd,6032,CNHI,Investment,4602
IN,12395,Times,D,Munster,Lake,3484,Lee Enterprises,Public,63352
IN,12151,Chronicle-Tribune,D,Marion,Grant,4356,Paxton Media Group,Private,12536
IN,12107,Madison Courier,D,Madison,Jefferson,6125,"Jacobs, Curt",Private,6000
IN,12050,Pharos-Tribune,D,Logansport,Cass,6032,CNHI,Investment,6166
IN,12026,Greene County Daily World,D,Linton,Greene,4797,Rust Communications,Private,3500
IN,11978,Reporter The,D,Lebanon,Boone,6032,CNHI,Investment,16835
IN,11937,Herald-Argus,D,La Porte,La Porte,4356,Paxton Media Group,Private,5054
IN,11876,Kokomo Tribune,D,Kokomo,Howard,6032,CNHI,Investment,13301
IN,11793,Journal and Courier,D,Lafayette,Tippecanoe,2547,Gannett,Public,20717
IN,11772,News and Tribune,D,Jeffersonville,Clark,6032,CNHI,Investment,7300
IN,11707,Indianapolis Star,D,Indianapolis,Marion,2547,Gannett,Public,97419
IN,11675,Huntington Herald-Press,D,Huntington,Huntington,4356,Paxton Media Group,Private,7576
IN,11592,Herald-Times/ Sunday Hoosiertimes,D,Bloomington,Monroe,2464,New Media/GateHouse,Investment,25732
IN,11577,Herald,D,Jasper,Dubois,3159,Jasper Herald Co,Private,9974
IN,11569,Herald Journal,D,Monticello,White,1822,Community Media Group,Private,3500
IN,11564,Herald Bulletin,D,Anderson,Madison,6032,CNHI,Investment,7583
IN,11419,Goshen News,D,Goshen,Elkhart,6032,CNHI,Investment,11917
IN,11305,Times The,D,Frankfort,Clinton,4356,Paxton Media Group,Private,4694
IN,11207,Star,D,Auburn,De Kalb,3375,KPC Media Group,Private,5272
IN,11203,Evansville Courier & Press,D,Evansville,Vanderburgh,2547,Gannett,Public,39750
IN,11156,Elkhart Truth,D,Elkhart,Elkhart,4356,Paxton Media Group,Private,15250
IN,10980,Decatur Daily Democrat,D,Decatur,Adams,3017,Horizon Publications,Private,4300
IN,10850,Daily Journal,D,Franklin,Johnson,1039,AIM Media ,NA,11240
IN,10768,Journal Review,D,Crawfordsville,Montgomery,4542,PTS Inc.,Private,5301
IN,10716,Connersville News-Examiner,D,Connersville,Fayette,4356,Paxton Media Group,Private,4390
IN,10706,Commercial Review The,D,Portland,Jay,2665,Graphic Printing Co,Private,4000
IN,10585,Chesterton Tribune,D,Chesterton,Porter,1620,Canright Warren H,Private,4800
IN,10211,Banner-Graphic,D,Greencastle,Putnam,4797,Rust Communications,Private,10500
KS,90486,Chapman and Enterprise News-Times,W,Chapman,Dickinson,6133,"Parker, David",Private,0
KS,90484,Yates Center News,W,Yates Center,Woodson,1443,Braden Stewart,Private,2190
KS,90483,Wyandotte Echo,W,Kansas City,Wyandotte,4411,"Peterson, Roberta",Private,0
KS,90042,Wilson County Citizen,W,Fredonia,Wilson,4645,Relph Joe & Rita,Private,3069
KS,90041,Wichita Eagle,D,Wichita,Sedgwick,3772,McClatchy,Public,55920
KS,53592,Western Times,W,Sharon Springs,Wallace,3124,J & D Publishing,Private,5645
KS,53571,Western Star The,W,Coldwater,Comanche,1102,Anderson Dennies,Private,830
KS,53569,Western Kansas World,W,Wakeeney,Trego,5766,Main Street Media,Private,2100
KS,53562,Wellington Daily News,W,Wellington,Sumner,2464,New Media/GateHouse,Investment,2000
KS,53554,Washington County News,W,Washington,Washington,5367,Thalman Dan,Private,2501
KS,53552,Wamego Times,W,Wamego,Pottawatomie,6138,White Corporation,Private,1300
KS,53551,Wamego Smoke Signal,W,Wamego,Pottawatomie,6138,White Corporation,Private,9823
KS,53527,Valley Falls Vindicator,W,Valley Falls,Jefferson,2038,Davis Publications Inc.,Private,1997
KS,53521,Ulysses News The,W,Ulysses,Grant,4542,PTS Inc.,Private,2216
KS,53509,Topeka Capital-Journal,D,Topeka,Shawnee,2464,New Media/GateHouse,Investment,25747
KS,53507,Times Sentinel,W,Cheney,Sedgwick,5434,Times-Sentinel Newspapers,Private,3000
KS,53504,Tiller and Toiler,W,Larned,Pawnee,3656,Main Street Media,Private,1434
KS,53490,Syracuse Journal The,W,Syracuse,Hamilton,1157,Ashlock Media Group LLC,Private,767
KS,53468,Stockton Sentinel,W,Stockton,Rooks,2793,"Hamilton, Bob",Private,1851
KS,53453,Sterling Bulletin,W,Sterling,Rice,3709,Marshall Ben,Private,1147
KS,53450,Stafford Courier,W,Stafford,Stafford,2687,"Green, David",Private,1000
KS,53444,St. John News,W,St. John,Stafford,2464,New Media/GateHouse,Investment,714
KS,53442,St. Marys Star,W,St. Marys,Pottawatomie,6138,White Corporation,Private,1850
KS,53441,St. Francis Herald,W,St. Francis,Cheyenne,2875,Haynes Publishing,Private,1292
KS,53434,Spearville News,W,Spearville,Ford,5619,Vierthaler Bruce,Private,700
KS,53406,South Haven New Era The,W,Conway Springs,Sumner,1438,Bozarth A J,Private,365
KS,53402,Smith County Pioneer,W,Smith Center,Smith,3656,Main Street Media,Private,3320
KS,53398,Wabaunsee County Signal-Enterprise The,W,Alma,Wabaunsee,5221,Stuewe Ervan,Private,1112
KS,53389,Courier-Tribune The,W,Seneca,Nemaha,4087,Nemaha Co. Publishing,Private,4900
KS,53369,Salina Journal,D,Salina,Saline,2464,New Media/GateHouse,Investment,18808
KS,53367,Sabetha Herald,W,Sabetha,Nemaha,3286,Kellenberger Tim & Paula,Private,2592
KS,53365,Russell County News,W,Russell,Russell,3656,Main Street Media,Private,2300
KS,53358,Rush County News,W,La Crosse,Rush,2305,Engel Tim,Private,1621
KS,21253,Rural Messenger,W,Haven,Reno,1066,"Alfers, Mike",Private,18000
KS,20976,Riley Countian,W,Riley,Riley,5250,"Sullivan, Donna",Private,1200
KS,20908,Record,W,Turon,Reno,2691,"Green, Homer",Private,576
KS,20815,Protection Press,W,Protection,Comanche,2705,"Greer, Robert",Private,784
KS,20685,Pratt Tribune The,W,Pratt,Pratt,2464,New Media/GateHouse,Investment,2000
KS,20602,Prairie Star,W,Sedan,Chautauqua,5337,Taylor Rudy,Private,1350
KS,20459,Prairie Post The,W,White City,Wabaunsee,1388,Bluestem Publishing Co.,Private,815
KS,20370,Plainville Times,W,Plainville,Rooks,3656,Main Street Media,Private,2440
KS,20369,Phillips County Review,W,Phillipsburg,Phillips,3656,Main Street Media,Private,2000
KS,20317,Peabody Gazette-Bulletin,W,Peabody,Marion,2965,Hoch Publishing,Private,1409
KS,20309,Parsons Sun,D,Parsons,Labette,2374,Family Media Inc,Private,5420
KS,20246,Ottawa Herald,W,Ottawa,Franklin,2464,New Media/GateHouse,Investment,4800
KS,20157,Oskaloosa Independent,W,Oskaloosa,Jefferson,2038,Davis Publications Inc.,Private,1752
KS,20076,Osborne County Farmer,W,Osborne,Osborne,3656,Main Street Media,Private,2600
KS,20047,Osage County Herald-Chronicle,W,Osage City,Osage,2362,Faimon Publications,Private,4000
KS,20028,Onaga Herald,W,Onaga,Pottawatomie,2828,"Harder, Joe",Private,0
KS,20000,Oberlin Herald The,W,Oberlin,Decatur,2875,Haynes Publishing,Private,1815
KS,19992,Oakley Graphic,W,Oakley,Logan,6141,JOS Publishing,Private,1200
KS,19889,Norwich News,W,Conway Springs,Kingman,1438,Bozarth A J,Private,0
KS,19765,Norton Telegram,W,Norton,Norton,2875,Haynes Publishing,Private,2704
KS,19760,Ninnescah Valley News,W,Pretty Prairie,Reno,5217,"Stucky, Nancy",Private,0
KS,19663,Newton Kansan The,D,Newton,Harvey,2464,New Media/GateHouse,Investment,7513
KS,19662,Newsleaf,W,Effingham,Atchison,1626,"Caplinger, Steve",Private,0
KS,19647,Ness County News,W,Ness City,Ness,1751,Clarke Jerry,Private,2248
KS,19592,Neodesha Derrick,W,Neodesha,Wilson,2834,Harper JoAnne & Terry,Private,1899
KS,19522,Mulvane News,W,Mulvane,Sedgwick,4735,Robinson Mike,Private,1512
KS,19502,Mulberry Advance,W,Mulberry,Crawford,5720,Weaver Darvin & Ruth Ann,Private,86
KS,19489,Morning Sun The,D,Pittsburg,Crawford,2464,New Media/GateHouse,Investment,5500
KS,19488,Montgomery County Chronicle,W,Caney,Montgomery,5337,Taylor Rudy,Private,2000
KS,19462,Montezuma Press,W,Montezuma,Gray,6141,JOS Publishing,Private,0
KS,19439,Monitor-Journal,W,Little River,Rice,2019,"Dater, Denice & Greg",Private,400
KS,19421,Mirror,W,Tonganoxie,Leavenworth,4228,Ogden Newspapers,Private,2555
KS,19400,Minneapolis Messenger,W,Minneapolis,Ottawa,6145,Parks and Shupe,Private,2333
KS,19385,Miltonvale Record,W,Miltonvale,Cloud,3596,"Lowell, Brad",Private,621
KS,19384,Miami County Republic,W,Paola,Miami,4123,News-Press & Gazette Company,Private,5150
KS,19337,Merchant's Directory,W,Mullinville,Kiowa,3298,Kendall Paul,Private,320
KS,19333,Meade County News,W,Meade,Meade,2626,Golden Plains Publishers,Private,1300
KS,19319,McPherson Sentinel,D,McPherson,McPherson,2464,New Media/GateHouse,Investment,3600
KS,19315,Marysville Advocate,W,Marysville,Marshall,3315,Kessinger Sarah,Private,4150
KS,19313,Marquette Tribune,W,Marquette,McPherson,4014,Morris Multimedia,Private,600
KS,19303,Marion County Record,W,Marion,Marion,2965,Hoch Publishing,Private,2800
KS,19269,Manhattan Mercury,D,Manhattan,Riley,4908,Seaton Publishing Company Inc,Private,8340
KS,19192,Madison News,W,Madison,Greenwood,4579,Ratcliff Tammy,Private,865
KS,19178,Lyons News The,W,Lyons,Rice,3656,Main Street Media,Private,2321
KS,19097,Lucas-Sylvan News,W,Lucas,Russell,3434,Langdon Craig,Private,950
KS,19081,Logan Republican,W,Logan,Phillips,5251,Sullivan John,Private,1000
KS,19079,Linn-Palmer Record,W,Linn,Washington,5367,Thalman Dan,Private,713
KS,19041,Linn County News,W,Pleasanton,Linn,5662,Walker Publishing Inc,Private,2600
KS,19024,Lindsborg News-Record,W,Lindsborg,McPherson,3656,Main Street Media,Private,2899
