,organization,city,county,state,lat_long,latitude,longitude
3911,News-Record and Sentinel,Marshall,Madison,NC,"[36.0674332, -95.774913]",36.0674332,-95.774913
3912,Duplin Times,Kenansville,Duplin,NC,"[34.9623883, -77.9622069]",34.9623883,-77.9622069
3913,Carolina Peacemaker,Greensboro,Guilford,NC,"[36.0726354, -79.7919754]",36.0726354,-79.7919754
3914,Up & Coming Weekly,Fayetteville,Cumberland,NC,"[35.0526641, -78.87835849999999]",35.0526641,-78.87835849999999
3915,Triangle Tribune,Durham,Durham,NC,"[35.9940329, -78.898619]",35.9940329,-78.898619
3916,The Independent Weekly,Durham,Durham,NC,"[35.9940329, -78.898619]",35.9940329,-78.898619
3917,Carolina Times,Durham,Durham,NC,"[35.9940329, -78.898619]",35.9940329,-78.898619
3918,Union County Weekly,Charlotte,Mecklenburg,NC,"[35.2270869, -80.8431267]",35.2270869,-80.8431267
3919,South Charlotte Weekly,Charlotte,Mecklenburg,NC,"[35.2270869, -80.8431267]",35.2270869,-80.8431267
3920,Charlotte Post,Charlotte,Mecklenburg,NC,"[35.2270869, -80.8431267]",35.2270869,-80.8431267
3921,The County Compass,Oriental,Pamlico,NC,"[36.2925994, -95.838866]",36.2925994,-95.838866
3922,Mountain Xpress,Asheville,Buncombe,NC,"[35.5950581, -82.5514869]",35.5950581,-82.5514869
3923,Que Pasa Mi Gente Charlotte,Charlotte,Mecklenburg,NC,"[35.2270869, -80.8431267]",35.2270869,-80.8431267
3924,Que Pasa Winston-Salem,Winston-Salem,Forsyth,NC,"[36.09985959999999, -80.244216]",36.09985959999999,-80.244216
3925,Que Pasa Raleigh-Greensboro,Raleigh,Wake,NC,"[35.7795897, -78.6381787]",35.7795897,-78.6381787
3926,Lake Gaston Gazette-Observer,Littleton,Warren,NC,"[39.613321, -105.0166498]",39.613321,-105.0166498
3927,The Havelock News,Havelock,Craven,NC,"[34.8790492, -76.9013301]",34.8790492,-76.9013301
3928,Weekly Gazette,La Grange,Lenoir,NC,"[29.9055033, -96.87664699999999]",29.9055033,-96.87664699999999
3929,Watauga Democrat,Boone,Watauga,NC,"[36.216795, -81.6745517]",36.216795,-81.6745517
3930,Yancey Common Times Journal,Burnsville,Yancey,NC,"[44.7677424, -93.27772259999999]",44.7677424,-93.27772259999999
3931,Tideland News,Swansboro,Onslow,NC,"[34.6876621, -77.1191166]",34.6876621,-77.1191166
3932,Yadkin Ripple,Yadkinville,Yadkin,NC,"[36.1345807, -80.6595079]",36.1345807,-80.6595079
3933,Wilkes Journal-Patriot,North Wilkesboro,Wilkes,NC,"[36.1584651, -81.1475841]",36.1584651,-81.1475841
3934,Warren Record,Warrenton,Warren,NC,"[38.7134516, -77.7952712]",38.7134516,-77.7952712
3935,The Transylvania Times,Brevard,Transylvania,NC,"[35.2334472, -82.7342919]",35.2334472,-82.7342919
3936,The Times-Leader,Grifton,Pitt,NC,"[35.3726629, -77.4374641]",35.3726629,-77.4374641
3937,Sylva Herald & Ruralite,Sylva,Jackson,NC,"[35.3737111, -83.22598029999999]",35.3737111,-83.22598029999999
3938,Stanly News and Press,Albemarle,Stanly,NC,"[35.3501426, -80.2000578]",35.3501426,-80.2000578
3939,Roanoke Beacon,Plymouth,Washington,NC,"[41.9584457, -70.6672621]",41.9584457,-70.6672621
3940,Perquimans Weekly,Elizabeth City,Perquimans,NC,"[36.2946008, -76.2510461]",36.2946008,-76.2510461
3941,News of Orange County,Hillsborough,Orange,NC,"[36.0754183, -79.0997347]",36.0754183,-79.0997347
3942,News Reporter,Whiteville,Columbus,NC,"[34.3387802, -78.7030721]",34.3387802,-78.7030721
3943,Nashville Graphic,Nashville,Nash,NC,"[36.1626638, -86.7816016]",36.1626638,-86.7816016
3944,Mountain Times,Boone,Watauga,NC,"[36.216795, -81.6745517]",36.216795,-81.6745517
3945,Mebane Enterprise,Mebane,Alamance,NC,"[36.0959715, -79.2669619]",36.0959715,-79.2669619
3946,The Island Gazette,Carolina Beach,New Hanover,NC,"[34.0351726, -77.8935966]",34.0351726,-77.8935966
3947,Highlander,Highlands,Macon,NC,"[36.75300319999999, -95.9347894]",36.75300319999999,-95.9347894
3948,Coastland Times,Manteo,Craven,NC,"[35.9082256, -75.67573019999999]",35.9082256,-75.67573019999999
3949,Franklin Times,Louisburg,Franklin,NC,"[36.0990393, -78.30110599999999]",36.0990393,-78.30110599999999
3950,The Franklin Press,Franklin,Franklin,NC,"[37.0661191, -94.5085198]",37.0661191,-94.5085198
3951,Mountaineer,Waynesville,Haywood,NC,"[35.4887145, -82.98874769999999]",35.4887145,-82.98874769999999
3952,The Stokes News,King,Stokes,NC,"[37.0373005, -95.6163665]",37.0373005,-95.6163665
3953,Courier-Times,Roxboro,Person,NC,"[36.3937519, -78.982788]",36.3937519,-78.982788
3954,The Clemmons Courier,Clemmons,Forsyth,NC,"[36.0215258, -80.3819984]",36.0215258,-80.3819984
3955,The Chowan Herald,Edenton,Chowan,NC,"[36.057938, -76.6077213]",36.057938,-76.6077213
3956,Chatham News & Record,Pittsboro,Chatham,NC,"[35.7201463, -79.1772371]",35.7201463,-79.1772371
3957,Butner-Creedmoor News,Creedmoor,Granville,NC,"[33.7155069, -85.7861027]",33.7155069,-85.7861027
3958,Brunswick Beacon,Shallotte,Brunswick,NC,"[33.9732275, -78.3858371]",33.9732275,-78.3858371
3959,The Blowing Rocket,Blowing Rock,Watauga,NC,"[36.135129, -81.6776059]",36.135129,-81.6776059
3960,Anson Record,Wadesboro,Anson,NC,"[34.9682097, -80.0767266]",34.9682097,-80.0767266
3961,Andrews Journal,Andrews,Cherokee,NC,"[37.09024, -95.712891]",37.09024,-95.712891
3962,Alleghany News,Sparta,Alleghany,NC,"[37.074461, 22.430264]",37.074461,22.430264
3963,Alamance News,Graham,Alamance,NC,"[37.09024, -95.712891]",37.09024,-95.712891
3964,Tabor-Loris Tribune,Tabor City,Columbus,NC,"[34.1487804, -78.8766916]",34.1487804,-78.8766916
3965,State Port Pilot,Southport,Brunswick,NC,"[33.921563, -78.02026769999999]",33.921563,-78.02026769999999
3966,Spring Hope Enterprise & The Bailey News,Spring Hope,Nash,NC,"[35.9451536, -78.11193449999999]",35.9451536,-78.11193449999999
3967,The Standard Laconic,Snow Hill,Greene,NC,"[38.1770634, -75.39269589999999]",38.1770634,-75.39269589999999
3968,Princeton News-Leader,Princeton,Johnston,NC,"[40.3430942, -74.65507389999999]",40.3430942,-74.65507389999999
3969,Oxford Public Ledger,Oxford,Granville,NC,"[51.7520209, -1.2577263]",51.7520209,-1.2577263
3970,Mount Olive Tribune,Mount Olive,Wayne,NC,"[35.1965531, -78.06637880000001]",35.1965531,-78.06637880000001
3971,Mooresville Tribune,Mooresville,Iredell,NC,"[35.5859146, -80.8081413]",35.5859146,-80.8081413
3972,Montgomery Herald,Troy,Montgomery,NC,"[42.6064095, -83.1497751]",42.6064095,-83.1497751
3973,Mitchell News-Journal,Spruce Pine,Mitchell,NC,"[35.9154007, -82.06456109999999]",35.9154007,-82.06456109999999
3974,Lincoln Times-News,Lincolnton,Lincoln,NC,"[35.473745, -81.2545251]",35.473745,-81.2545251
3975,Kings Mountain Herald,Kings Mountain,Cleveland,NC,"[35.2451342, -81.34119419999999]",35.2451342,-81.34119419999999
3976,Kernersville News,Kernersville,Forsyth,NC,"[36.1198588, -80.07365329999999]",36.1198588,-80.07365329999999
3977,Kenly News,Kenly,Johnston,NC,"[35.5962702, -78.1241591]",35.5962702,-78.1241591
3978,Jefferson Post,West Jefferson,Ashe,NC,"[36.4037364, -81.4928829]",36.4037364,-81.4928829
3979,Jamestown News,Jamestown,Guilford,NC,"[37.2116383, -76.7752102]",37.2116383,-76.7752102
3980,The Graham Star,Robbinsville,Graham,NC,"[40.2162036, -74.6195327]",40.2162036,-74.6195327
3981,Four Oaks-Benson News in Review,Benson,Johnston,NC,"[31.9678611, -110.2945174]",31.9678611,-110.2945174
3982,Farmville Enterprise,Farmville,Pitt,NC,"[37.3020965, -78.3919401]",37.3020965,-78.3919401
3983,Scuppernong Reminder,Columbia,Tyrrell,NC,"[36.1335816, -95.95158529999999]",36.1335816,-95.95158529999999
3984,Davie County Enterprise-Record,Mocksville,Davie,NC,"[35.8940263, -80.5614494]",35.8940263,-80.5614494
3985,Crossroads Chronicle,Cashiers,Jackson,NC,"[35.111906, -83.0996354]",35.111906,-83.0996354
3986,Clay County Progress,Hayesville,Clay,NC,"[35.0462003, -83.81795269999999]",35.0462003,-83.81795269999999
3987,Cherryville Eagle,Cherryville,Gaston,NC,"[35.3787442, -81.37897389999999]",35.3787442,-81.37897389999999
3988,Cherokee Scout,Murphy,Cherokee,NC,"[36.74027530000001, -95.9346363]",36.74027530000001,-95.9346363
3989,Caswell Messenger,Yanceyville,Caswell,NC,"[36.4040273, -79.3361314]",36.4040273,-79.3361314
3990,Carteret County News-Times,Morehead City,Carteret,NC,"[34.7229391, -76.7260436]",34.7229391,-76.7260436
3991,Smoky Mountain Times,Bryson City,Swain,NC,"[35.4309291, -83.4473809]",35.4309291,-83.4473809
3992,Bladen Journal,Elizabethtown,Bladen,NC,"[0.0, 0.0]",0.0,0.0
3993,Black Mountain News,Black Mountain,Buncombe,NC,"[35.6178951, -82.3212302]",35.6178951,-82.3212302
3994,Bertie Ledger-Advance,Windsor,Bertie,NC,"[36.063095, -95.8830881]",36.063095,-95.8830881
3995,The Avery Journal-Times,Newland,Avery,NC,"[36.0873484, -81.9273362]",36.0873484,-81.9273362
3996,Archdale Trinity News,High Point,Guilford,NC,"[35.9556923, -80.0053176]",35.9556923,-80.0053176
3997,Enterprise & Weekly Herald,Williamston,Martin,NC,"[42.6889235, -84.2830245]",42.6889235,-84.2830245
3998,The Wake Weekly,Wake Forest,Wake,NC,"[36.1340985, -80.2778951]",36.1340985,-80.2778951
3999,Thomasville Times,High Point,Davidson,NC,"[35.9556923, -80.0053176]",35.9556923,-80.0053176
4000,Pilot,Pilot Mountain,Surry,NC,"[36.3401384, -80.4742242]",36.3401384,-80.4742242
4001,News-Journal,Raeford,Hoke,NC,"[34.9809995, -79.2241997]",34.9809995,-79.2241997
4002,The Messenger,Reidsville,Rockingham,NC,"[36.3548586, -79.6644747]",36.3548586,-79.6644747
4003,Taylorsville Times,Taylorsville,Alexander,NC,"[40.66772479999999, -111.9388258]",40.66772479999999,-111.9388258
4004,Pilot,Southern Pines,Moore,NC,"[35.1740471, -79.3922539]",35.1740471,-79.3922539
4005,Pender-Topsail Post & Voice,Burgaw,Pender,NC,"[34.5521113, -77.92609800000001]",34.5521113,-77.92609800000001
4006,Tribune,Elkin,Surry,NC,"[36.2443012, -80.8484043]",36.2443012,-80.8484043
4007,Tryon Daily Bulletin,Tryon,Polk,NC,"[35.2081694, -82.2384479]",35.2081694,-82.2384479
4008,Observer News Enterprise,Newton,Catawba,NC,"[38.0466779, -97.34503649999999]",38.0466779,-97.34503649999999
4009,Daily Courier,Forest City,Rutherford,NC,"[35.3340108, -81.8651028]",35.3340108,-81.8651028
4010,Winston-Salem Journal,Winston-Salem,Forsyth,NC,"[36.09985959999999, -80.244216]",36.09985959999999,-80.244216
4011,The Wilson Daily Times,Wilson,Wilson,NC,"[35.6925497, -77.88245959999999]",35.6925497,-77.88245959999999
4012,StarNews,Wilmington,New Hanover,NC,"[34.2103894, -77.8868117]",34.2103894,-77.8868117
4013,Washington Daily News,Washington,Beaufort,NC,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
4014,Times-News,Burlington,Alamance,NC,"[36.135688, -95.91991159999999]",36.135688,-95.91991159999999
4015,Statesville Record & Landmark,Statesville,Iredell,NC,"[35.7826363, -80.8872959]",35.7826363,-80.8872959
4016,The Star,Shelby,Cleveland,NC,"[35.2923513, -81.5356463]",35.2923513,-81.5356463
4017,Herald-Sanford,Sanford,Lee,NC,"[28.8028612, -81.269453]",28.8028612,-81.269453
4018,Sampson Independent,Clinton,Sampson,NC,"[38.3686324, -93.7782689]",38.3686324,-93.7782689
4019,Salisbury Post,Salisbury,Rowan,NC,"[38.3606736, -75.5993692]",38.3606736,-75.5993692
4020,Rocky Mount Telegram,Rocky Mount,Nash,NC,"[35.9382103, -77.7905339]",35.9382103,-77.7905339
4021,Richmond County Daily Journal,Rockingham,Richmond,NC,"[34.9393201, -79.7739457]",34.9393201,-79.7739457
4022,Reidsville Review,Reidsville,Rockingham,NC,"[36.3548586, -79.6644747]",36.3548586,-79.6644747
4023,News & Observer,Raleigh,Wake,NC,"[35.7795897, -78.6381787]",35.7795897,-78.6381787
4024,The Sun Journal,New Bern,Craven,NC,"[35.108493, -77.04411429999999]",35.108493,-77.04411429999999
4025,News Herald,Morganton,Burke,NC,"[35.7454071, -81.6848188]",35.7454071,-81.6848188
4026,The Enquirer-Journal,Monroe,Union,NC,"[37.09024, -95.712891]",37.09024,-95.712891
4027,McDowell News,Marion,McDowell,NC,"[37.7306054, -88.9331256]",37.7306054,-88.9331256
4028,Robesonian,Lumberton,Robeson,NC,"[34.6182199, -79.0086424]",34.6182199,-79.0086424
4029,The Dispatch,Lexington,Davidson,NC,"[38.0405837, -84.5037164]",38.0405837,-84.5037164
4030,News-Topic,Lenoir,Caldwell,NC,"[30.2468497, -97.7558562]",30.2468497,-97.7558562
4031,Laurinburg Exchange,Laurinburg,Scotland,NC,"[34.7740494, -79.46282479999999]",34.7740494,-79.46282479999999
4032,The Kinston Free Press,Kinston,Lenoir,NC,"[35.2626635, -77.5816353]",35.2626635,-77.5816353
4033,The Daily News,Jacksonville,Onslow,NC,"[30.3321838, -81.65565099999999]",30.3321838,-81.65565099999999
4034,Independent Tribune,Concord,Cabarrus,NC,"[37.9779776, -122.0310733]",37.9779776,-122.0310733
4035,High Point Enterprise,High Point,Guilford,NC,"[35.9556923, -80.0053176]",35.9556923,-80.0053176
4036,Hickory Daily Record,Hickory,Catawba,NC,"[35.7344538, -81.3444573]",35.7344538,-81.3444573
4037,Times-News,Hendersonville,Henderson,NC,"[35.3187279, -82.4609528]",35.3187279,-82.4609528
4038,Daily Reflector,Greenville,Pitt,NC,"[34.85261759999999, -82.3940104]",34.85261759999999,-82.3940104
4039,News & Record,Greensboro,Guilford,NC,"[36.0726354, -79.7919754]",36.0726354,-79.7919754
